coin,symbol,price,chain,1h,24h,24hVolume,fdv,numOfHolders,holderChange,lastAdded
Enigma DAO,GMA,$1.42,Avalanche,-0.8141161562516982,-3.8527452465526912,"$2,283.76",?,-,-,9 days
Small Fish Cookie,SFC,$1.40,Binance Smart Chain,-5.054205571324815,-17.905190834024168,"$2,294,353","$2,284,621",-,-,7 days
Royal Gold,RGOLD,$1.36,Binance Smart Chain,-2.6698005854265503,21.525105731290846,"$1,317,720","$6,666,909",-,-,1 day
CronaSwap,CRONA,$1.17,Cronos,-0.35775056339689265,1.4840886006969007,$211.96,?,-,-,9 days
AnchorUST,AUST,$1.15,Terra,0.06992074680101501,-0.2226957971028664,"$50,794.64",?,-,-,9 days
Avaware USD,AUSD,$1.00,Avalanche,-0.8188568802863669,-3.2393069848276954,"$49,770.43","$306,615",-,-,1 day
TerraUSD (Wormhole),UST,$0.994857,ethereum,-1.1918906434834222,-0.6191768809255279,"$318,728",?,-,-,8 days
PolygonumOnline,POG,$0.949520,,0.12936830952645254,-5.184069988881231,"$85,925.94",?,-,-,10 days
Sipher,SIPHER,$0.939149,ethereum,-1.5860017953974355,-35.25395008710999,"$12,070,317",?,-,-,9 days
Harmony Parrot Egg,1PEGG,$0.927552,Harmony Shard 0,1.8943590796367804,-13.80805930591558,"$67,685.32",?,-,-,8 days
BlockchainSpace,GUILD,$0.911734,ethereum,29.307565297422382,-18.460679210978032,"$7,446.48","$905,398,696",-,-,3 days
Family,FAM,$0.909367,Harmony Shard 0,0.23818281219103718,-4.35545175198874,$354.49,?,-,-,7 days
Passive Token,PASSIVE,$0.894896,Binance Smart Chain,-1.364490852036365,-12.04607873516016,"$12,627.12","$799,806",-,-,4 days
Monster,MST,$0.890413,Fantom,10.10301080007029,-22.169199436452303,"$119,619","$890,413",-,-,12 days
Rikkei Finance,RIFI,$0.805443,ethereum,0.585376155577252,-16.68595077645368,"$10,322,943",?,-,-,2 days
KaraStar UMY,UMY,$0.795123,Binance Smart Chain,-2.213411281199742,-3.623144142531528,"$557,671",?,-,-,6 days
Gunstar Metaverse,GST,$0.774729,Binance Smart Chain,-1.4551701785424564,-2.3106120679440725,"$805,638","$314,203,868",-,-,9 days
Heroes TD,HTD,$0.768171,Binance Smart Chain,0.544814410578322,-18.396077381776685,"$3,302,281","$359,695,519",-,-,11 days
Propel Token,PEL,$0.719525,,0.03730301759538051,-2.522211815461169,"$2,378,137",?,-,-,2 days
DePocket,DEPO,$0.624153,Binance Smart Chain,-0.2075026085643429,2.657252578912213,"$9,061.66","$13,111,330",-,-,9 days
Operon Origins,ORO,$0.570285,Binance Smart Chain,-1.2687311219589985,-7.589635798970745,"$394,928","$57,125,349",-,-,11 days
LUCA,LUCA,$0.531575,Binance Smart Chain,-0.21809627473567975,0.1012873692186979,"$20,982.43","$10,634,925",-,-,3 days
Zodium,ZODI,$0.510323,Binance Smart Chain,-4.046032417689711,17.830355322769083,"$1,423,444",?,-,-,7 days
